MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20262401,Izak Rankine,Adelaide,19.6,-0.2,6,10.8,36.2,13.91,18.3,17.9,7.9,28.2,187,129,74,23,12,35,77.1,845,293,6,2,2,8,0,17,10,3,2,16,2,1,0,0,72,12,12,0,0,0,5,4,0,13.5,10.5,3,10,3
20262401,Taylor Walker,Adelaide,9.3,2.1,8,0.9,20.4,8.14,0,17.4,12.9,5.8,121,82,81,11,2,13,69.2,280,6,4,4,0,5,0,7,3,7,3,2,0,4,0,2,0,0,0,0,0,0,7,6,1,29,8,0,10,0
20262401,Jake Stringer,Greater Western Sydney,1.9,7,7.6,3.9,20.4,10.45,4.7,14.9,6.2,14.8,101,83,93,11,1,12,58.3,307,23,1,2,1,11,0,5,4,2,1,4,1,4,1,0,5,2,2,0,0,0,9,6,2,26.8,11.2,1,9,2
20262401,Riley Thilthorpe,Adelaide,9.6,2.6,4.2,1.3,17.7,10.76,4.1,10.6,12.2,3.1,114,114,83,14,7,21,52.4,428,159,6,2,3,9,0,8,5,3,1,3,2,9,0,2,33,4,2,18,3,1,7,3,4,19.2,2.8,0,12,3
20262401,Harry Rowston,Greater Western Sydney,5.6,3,5.9,2.2,16.7,8.69,3.4,9.1,3.9,8.5,81,64,62,7,9,16,93.8,249,345,2,0,3,21,0,6,4,2,1,8,1,2,0,0,53,2,3,0,0,0,1,1,0,3.3,2.7,1,7,2
20262401,Ben Keays,Adelaide,6.9,-0.4,6.8,2.3,15.6,9.8,1.2,12.1,7.3,5.8,117,108,87,14,11,25,68,344,138,3,3,3,10,0,8,7,7,6,7,5,4,0,1,0,1,0,0,0,0,4,3,1,17.9,1.1,1,11,2
20262401,Connor Idun,Greater Western Sydney,4.1,4.1,4.6,1.5,14.2,10.29,0,11.3,4.7,2.2,94,78,100,9,11,20,85,274,327,2,2,4,9,2,6,4,6,4,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
20262401,Alex Neal-Bullen,Adelaide,1.4,5,2.9,4,13.4,9.21,0,11,8.4,2.5,71,57,85,5,11,16,75,123,139,4,2,2,12,0,7,7,7,7,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
20262401,Lachie Ash,Greater Western Sydney,2.9,5.1,4.5,0.4,12.8,11.86,1.7,8.6,5,6.6,108,98,87,17,9,26,84.6,594,289,6,6,6,22,2,7,5,4,2,12,3,4,0,0,49,3,2,0,0,0,0,0,0,0,0,1,5,0
20262401,Daniel Curtin,Adelaide,6.6,0.6,-1,6.4,12.6,10.29,3.5,8,7.9,5.8,76,78,71,11,11,22,77.3,306,196,6,3,3,13,0,13,9,5,5,7,3,3,0,0,74,5,6,0,0,0,1,1,0,2,4,1,8,3
20262401,Ryan Angwin,Greater Western Sydney,3,4.5,3.3,1.7,12.4,9.05,3,7.9,6.5,4.3,80,53,86,9,8,17,70.6,223,263,5,2,2,21,0,10,8,6,5,6,4,1,0,0,63,3,3,0,0,0,0,0,0,0,0,1,5,0
20262401,Lachlan McAndrew,Adelaide,4,2.4,4.3,1.7,12.3,12.46,6.5,2.5,4.5,2.4,118,85,74,5,7,12,75,229,127,3,3,3,14,0,6,3,2,2,5,2,0,0,0,67,3,3,72,39,14,1,1,0,5.5,0.5,2,8,6
20262401,Kieren Briggs,Greater Western Sydney,3,4.6,1.6,2.9,12.1,12.36,2.5,6.2,6.7,3.4,72,72,57,7,4,11,90.9,219,146,3,1,3,10,0,7,3,2,1,4,4,3,3,1,51,5,5,59,24,3,0,0,0,0,0,0,4,2
20262401,Xavier O'Halloran,Greater Western Sydney,2.6,1.1,2.5,5.3,11.6,8.82,1.2,9.6,3.8,7.1,41,37,78,6,5,11,81.8,321,136,2,3,0,10,0,2,2,2,2,3,3,1,0,0,0,0,0,0,0,0,1,1,0,3.5,2.5,0,2,0
20262401,Jordan Dawson,Adelaide,4.2,3.8,1.2,1.7,11,13.78,2.6,6.3,4,6.4,111,107,78,17,15,32,75,431,299,5,5,4,20,0,10,5,2,1,14,1,5,0,0,65,5,9,0,0,0,0,0,0,0,0,1,8,1
20262401,Darcy Fogarty,Adelaide,-0.5,0.8,2.4,8.3,11,7.15,0,9.4,9.8,-0.4,89,98,87,11,5,16,56.3,364,179,4,4,2,8,0,6,1,6,1,4,0,9,0,4,0,0,0,0,0,0,6,3,1,20.8,-1.8,1,9,0
20262401,Lachie Whitfield,Greater Western Sydney,1.2,5,2.2,2.4,10.8,10.23,0.2,5.6,3.8,2.6,88,69,83,14,7,21,95.2,354,290,1,0,4,9,8,4,4,4,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
